Name,Rank,Work Field,Website,Publication Count,Publications
Mehmet Karaköse,Prof. Dr.,"Bilgi ve Bilgi İşleme Bilimleri, Görüntü İşleme, Makine Öğrenme, Yapay Zeka, Bulanık Hesaplama, Yapay Zeka (Diğer), Bilgisayar Yazılımı",https://dergipark.org.tr/tr/pub/@mkarakose,36,DERİN YAPAY SİNİR AĞLARI KULLANAN DİNAMİK BULANIK BİLİŞSEL HARİTALARLA ÇOKLU GÖRÜDE NESNE TAKİBİ; Takım Oyunu Stratejisi için Görüntü İşleme Kullanan Kontrol Algoritmasının Geliştirilmesi; Pantograf-Katener Sistemler için Bulanık Mantık Tabanlı Belirlenen Pantograf Modeli Kullanılarak Ark Tespiti Yaklaşımı; A Fault Diagnosis Approach for Rail Surface Anomalies Using FPGA in Railways; Salgınlarda Güvenilir Sosyo-Ekonomik İlişkiler İçin Kullanılabilecek Bir Yazılım Mimarisi; Eş zamanlı Arıza Teşhisi için FPGA Tabanlı Akıllı Durum İzleme Yöntemlerinin Geliştirilmesi / Development of FPGA Based Intelligent Condition Monitoring Methods for Synchronously Fault Diagnosis; A New Real Time Control Approach for Time Efficiency in Group Elevator Control System; Optimizasyon Tabanlı  Adaptif Görüntü Mozaikleme Algoritması; Adaptive Vision Based Condition Monitoring and Fault Detection Method for Multi Robots at Production Lines in Industrial Systems; Kuantum Devrelerinde Kapı ve Giriş Tespiti için YOLO Tabanlı Bir Yöntem; Sezgisel Optimizasyon Kullanan Ağırlıklı Görünürlük Grafı Tabanlı Kapalı Alan WiFi Konumlandırma Yöntemi; Derin Takviyeli Öğrenme Tabanlı Bilinmeyen Ortamda Çoklu Robot Navigasyonu; Yapay Zekâ Kullanımıyla Peron Ayırıcı Kapı Sisteminin Sağlığını İzleme ve Kestirimci Bakım; Genetic Algorithm-Based Optimization of Mass Customization Using Hyperledger Fabric Blockchain; A New Approach Based on Image Processing for Detection of Wear of Guide-Rail Surface in Elevator Systems; İnsan-İHA Etkileşimi İçin Giyilebilir Eldiven Hareketlerinin Sınıflandırılması ve Analizi; A Fast and Adaptive Road Defect Detection Approach Using Computer Vision with Real Time Implementation; Endüstriyel Sistemlerde Arkaplan Çıkarımı Tabanlı  Hareketli Nesne Tespiti ve Sayılması için Yeni Bir Yaklaşım; Real time implementation for fault diagnosis and condition monitoring approach using image processing in railway switches; Motor Nöron Yetilerini Kaybetmiş Bireylerin İletişimi için SSVEP Tabanlı Beyin Bilgisayar Arayüzü Geliştirilmesi; Gömülü Derin Öğrenme ile Tehdit İçeren Nesnelerin Gerçek Zamanda Tespiti; Dinamik Ortamlarda Derin Takviyeli Öğrenme Tabanlı Otonom Yol Planlama Yaklaşımları için Karşılaştırmalı Analiz; Kuantum Programlama Açısından Kuantum Derleyicilerin Karşılaştırmalı Analizi ve IBMQ Uygulaması; Derin Sahte ile Manipüle Edilmiş Yüz Görüntülerin Tespiti için YOLOV3 Tabanlı Bir Yöntem; İnsan Kaldırma Hareketinin Analizi için Tip−2 Bulanık Sistem Yaklaşımı; Raylı Sistemlerde Peron Ayırıcı Kapı Sistemi İçin Yapay Sinir Ağı Tabanlı Hata Teşhis Yaklaşımı; Pantograf Katener Sistemlerde Görüntü Segmantasyon Tabanlı Adaptif Ark Tespiti; A Vision Based Condition Monitoring Approach for Rail Switch and Level Crossing using Hierarchical SVM in Railways; Learning Based Experimental Approach For Condition Monitoring Using Laser Cameras In Railway Tracks; Kuantum Uyarlamalı Genetik Algoritmalar için Çözüm Kalitesini Artıracak Yeni Bir Yaklaşım; Demiryolu Bağlantı Elemanlarında Bulunan Kusurların YOLOv4 ve Bulanık Mantık Kullanarak Tespiti; Derin Öğrenme Yöntemleri ile Demiryolu Bağlantı Elemanlarının Sınıflandırılması; Araç-İHA İşbirliği ile Kargo Teslimatları İçin Ortak Rota Optimizasyonu; Makine Öğrenmesi Yöntemlerinde Yüksek Başarım için Kuantum Bilgisayar ve Hesaplamanın Kullanımı; Yeni Bir Kitlesel Özelleştirme Platformu: Hyperledger Composer Kullanım Örneği; DERİN SAHTE VİDEOLARIN TESPİTİ VE UYGULAMALARI İÇİN BİR KARŞILAŞTIRMA ÇALIŞMASI
Zülfü Demirtaş,Prof. Dr.,"Eğitim, Eğitim Planlaması, Organizasyon ve Yönetim Teorisi",https://dergipark.org.tr/tr/pub/@zdemirtas,30,"ULUSLARARASI ANTLAŞMALAR ÇERÇEVESİNDE ENGELLİLERİN EĞİTİM HAKKI; Öğretmen Algılarına Göre İşyerinde Dışlama: Eğitim Kurumlarında Nitel Bir Araştırma; ÖRGÜTSEL GÜVEN İLE ÖRGÜTSEL MUTLULUK ARASINDAKİ İLİŞKİDE ÖRGÜTSEL SESSİZLİĞİN ARACILIK ROLÜ; Ortaöğretim Okullarında Görev Yapan Okul Müdürlerinin Vizyoner Liderlik Davranışları İle Öğrenci Akademik Başarısı Arasındaki İlişki; Decision Making Process According to Perceptions of School Administrators: A Case Study in Educational Institutions [Okul Yöneticilerinin Algılarına Göre Karar Alma Süreci: Bir Durum Çalışması]; ÖĞRETMENLERİN ÖRGÜTSEL ÇEKİCİLİK İLE İŞ DOYUMU ALGILARI ARASINDAKİ İLİŞKİ; Perceived Teacher Informal Relationship Scale: A scale development and measurement invariance study.; İnsanı Kendi Yaşamının Öznesi Yapmaya Yönelik Kazanımların Hayat Bilgisi Programı Kapsamında İncelenmesi; The Adaptation and Psychometric Analysis of the Global Transformational Leadership (GTL) Scale  for Turkish Educational Institutions; Okulların Örgütsel DNA Özelliklerinin Bürokratik Eğilime Etkisinin Yapısal Eşitlik Modellemesi ile İncelenmesi; İlköğretim Okulu Yöneticilerinin Okullarında Eğitim Öğretim Durumu ile İlgili Eksikliklerin Giderilmesinde İzledikleri Stratejiler; İLKÖĞRETİM OKULU ÖĞRETMENLERİNİN GÖRÜŞLERİ BAĞLAMINDA TEFTİŞ SÜRECİNDE ETİK (TOKAT İLİ ÖRNEĞİ); 6 Şubat Kahramanmaraş Depremlerinde Okul Yöneticisi ve Öğretmenlerin Yaşadığı Travmalar; Anaokullarında Görev Yapan Öğretmenlerin Okul Kültürü Algıları; The Intermediary Effect of Psychological Capital on the Relationship between Toxic Leadership Behaviors of School Administrators and School Effectiveness; Presenteeism İyi Midir Kötü Müdür? Okullarda Fenomenolojik Bir Çalışma; Perceived-teacher presenteeism scale: A scale development study; Öğretmenlerin İş Doyumu ve Örgütsel Sessizlik Algıları arasındaki İlişki; Okulların Örgütsel DNA Özellikleri Ölçeğinin  Geliştirilmesi Çalışması; Bürokratik Okul Yapısı ile Müdür Yönetim Tarzları Arasındaki İlişkilerin İncelenmesi; The Effect of Bureaucratic School Structure on Teachers' Job Satisfaction: The Mediator Role of the Organizational Justice; The Effect of Teachers' Participation in Decision Making on Organizational Justice Perceptions; Okul Müdürlerinin Toksik Liderlik Davranışları ile Öğretmenlerin Örgütsel Sessizliği Arasındaki İlişki; Öz-yeterlik ve İş Doyumu Arasındaki İlişkinin İncelenmesi: Lise Öğretmenleri Üzerine Bir Araştırma; Anaokullarında Görev Yapan Öğretmenlerin Örgütsel Sessizlik Düzeyleri; MEHMET AKİF ERSOY'UN SAFAHAT ESERİNDE ÖĞRETMEN MODELİ; Öğretmenlerin Örgütsel Adalet Algılarının Örgütsel Vatandaşlık Davranışı Üzerindeki Etkisi; Ortaokul Öğretmenlerinin İş Doyumu ile Örgütsel Güven Algıları Arasındaki İlişkinin İncelenmesi; İLKOKUL, ORTAOKUL VE LİSE ÖĞRETMENLERİNİN ÖRGÜTSEL SİNİSİZM ALGILARININ İNCELENMESİ; Lise Öğretmenlerinin Örgütsel Bağlılık Düzeyleri"
İbrahim Türkoğlu,Prof. Dr.,"Pattern Recognition, Bioinformatics, Artificial Intelligence, Embedded Systems",https://dergipark.org.tr/tr/pub/@iturkoglu,33,Derin Öğrenme Algoritmalarının Yaprak Sınıflandırma Başarımlarının Karşılaştırılması; EXTRACTION OF INTERESTING PATTERNS THROUGH; Mermer Türlerinin Makine Öğrenmesi Teknikleri Kullanılarak Sınıflandırılması; KARAR AĞACI YÖNTEMİNİ KULLANARAK TİROİD HORMON PARAMETRELERİNDEN HİPERTİROİDİ VE HİPOTİROİDİ TEŞHİSİ; ELAZIĞ ORGANİZE SANAYİ BÖLGESİNDEKİ FİRMALARIN ENDÜSTRİ 4.0 ALGISI; Derin Öğrenme Modelleri ve Uygulama Alanlarına İlişkin Bir Derleme; Yazılım Güvenlik Açıklarının Evrişimsel Sinir Ağları (CNN) ile Sınıflandırılması; Feature Selection with Sequential Forward Selection Algorithm from Emotion Estimation based on EEG Signals; Robot Sistemlerinde Kullanılan Algoritmalar; Pozitif ve Negatif Duyguların Ayrımında Etkili EEG Kanallarının Dalgacık Dönüşümü ve Destek Vektör Makineleri ile Belirlenmesi; GENETİK KÜMELEME İLE GÖRÜNTÜ BÖLÜTLEME; Farklı Busbarlara Sahip Güneş hücrelerinin EL Görüntülerinin Derin Öğrenme Modelleri ile Sınıflandırılması; Optimization for Next Generation Wireless System Using Radio Over Fiber in Terms of Topology; Gender Classification with Low-Power Laser Signals; BİR WEB SİTESİNE AİT KULLANICI ERİŞİM KAYITLARININ WEB KULLANIM MADENCİLİĞİ YÖNTEMİYLE ANALİZİ: FIRAT ÜNİVERSİTESİ ÖRNEĞİ; Application of Classical and Genomic Cryptography on Textual Dataset; Lazer İşaretleri İle Otomatik Hedef Tanıma; Simetrik ve Asimetrik Şifreleme Algoritmalarının Performans Karşılaştırılması; EEG Tabanlı Duygu Analizi Sistemleri; A COMPARATIVE STUDY ON ENTROPIC THRESHOLDING METHODS; DARBELİ RADAR SİSTEMLERİNDE BAYES KARAR KURALI İLE HEDEF  SINIFLAMA UYGULAMASI; DEĞİŞMEZ MOMENTLERLE TÜRKÇE KARAKTER TANIMA; Mobil Robotlarda Kullanılan DC Motorların Parametrelerinin Belirlenmesi İçin Deney Düzeneği Geliştirilmesi; Analysis Of The Performance According To Object Density In Static Environments of GA and PSO Algorithms Used In Mobile Robot Path Planning; Rüzgâr Türbini Yüksek Hızlı Şaft Rulmanının Sağlık Durumu Aşamalarının Derin Öğrenme İle Belirlenmesi; SAYISAL HARİTALAMA TEKNİKLERİ VE FOURIER DÖNÜŞÜMÜ KULLANILARAK DNA DİZİLİMLERİNİN SINIFLANDIRILMASI; THE PERFORMANCE ANALYSIS OF STFT-ANFIS CLASSIFICATION METHOD ON PULSED RADAR TARGET CATEGORIZATION; PPG ve ECG Sinyallerinden Tansiyon Tahmini; TIBBİ GÖRÜNTÜLERDEN İSTENEN BİR ÖRÜNTÜNÜN AYRIŞTIRILMASI; DOĞRUSAL PROGRAMLAMA YÖNTEMLERİ KULLANILARAK KÜÇÜK İŞLETMELERDEKİ KAR PAYLARININ ARTIRILMASI: MERT CAM ÖRNEĞI; Kanser Teşhisinde Protein Haritalama Tekniklerinin Başarımlarının Derin Öğrenme Kullanılarak Karşılaştırılması; Dalgacık dönüşümü ve makine öğrenme teknikleri kullanılarak FTIR sinyallerinden kolon kanseri hastaları ve sağlıklı kişileri sınıflandırmak için yeni bir yöntem; PETRİ AĞLARI İLE SU ARITMA SİSTEMİNİN MODELLENMESİ
Rıfat Bilgin,Prof. Dr.,"Sosyal Hizmetler (Diğer), Adli Sosyal Bilimler, Aile Sosyolojisi",https://dergipark.org.tr/tr/pub/@rifat49.,13,"Kültürel Bağlamda Hasta Güvenliği Problemine İlişkin Genel Bir Değerlendirme; SOKAKTA ÇALIŞAN/YAŞAYAN ÇOCUKLAR VE SUÇ: DİYARBAKIR ÖRNEĞİ; TÜRKİYE’DE KAMU SAĞLIK KURULUŞLARINDA YAŞANAN ETİK DIŞI DAVRANIŞLAR VE UYGULAMALARIN GENEL GÖRÜNÜMÜ; ÇATIŞMA VE ŞİDDET ORTAMINDA BÜYÜYEN ÇOCUKLAR SORUNU; Hastanede Yatan Bireylerin, Hasta Hakları ve Sorumlulukları Konusundaki Bilgi Düzeyleri: Tokat İlindeki Bir Devlet Hastanesi Örneği; DİYARBAKIR'DA SOKAKTA ÇALIŞAN ÇOCUKLAR ÜZERİNE SOSYOLOJİK BİR ARAŞTIRMA; Sağlık Kurumlarına Müracaat Eden Hasta Bireylerin Hak ve Sorumluluk Bilgi Düzeyi Ölçeği’nin Geliştirilmesi; PROFILES OF BURGLARS IN TURKEY AND SOME FACTORS IN THE PROCESS OF CRIMINALIZATION; GELENEKSEL VE MODERN TOPLUMDA KADIN BEDENİ VE CİNSELLİĞİ; KÜLTÜREL BAĞLAMDA İNOVASYON VE GİRİŞİMCİLİĞİ ETKİYEN FAKTÖRLERE İLİŞKİN BİR GENEL DEĞERLENDİRME; Küresel Salgın (COVID-19) Sürecinde Evde Yaşam Tatmini; SOSYAL HİZMET KURUMU ÇALIŞANLARINDA İŞ MEMNUNİYETİ, TÜKENMİŞLİK VE DEPRESYON: DİYARBAKIR İLİ ALAN ARAŞTIRMASI; Hemşirelerde Örgütsel Sessizliğin Nedenleri: Bir Eğitim ve Araştırma Hastanesi Uygulaması"
İbrahim Yaşar Kazu,Prof.,Eğitim,https://dergipark.org.tr/tr/pub/@iykazu,30,"STEM UYGULAMALARININ BİLİMSEL SÜREÇ BECERİLERİNE ETKİSİ: BİR META-ANALİZ ÇALIŞMASI; TEKNİK ÖĞRETMENLERİN MESLEKİ ve TEKNİK ÖĞRETİM PROGRAMLARI HAKKINDAKİ GÖRÜŞLERİ (Elazığ İli Örneği); Öğretmenlerin Yaşam Boyu Öğrenme Yeterlikleri; ÖĞRETMENLERİN KORONAVİRÜS PANDEMİSİ DÖNEMİNDE VERDİKLERİ UZAKTAN EĞİTİME İLİŞKİN METAFORİK ALGILARI; İŞLETİM SİSTEMLERİ VE UYGULAMALARI DERSİNE  YÖNELİK TUTUM ÖLÇEĞİNİN GELİŞTİRİLMESİ  ÇALIŞMASI; Ters Yüz Sınıf Modelinin Öğrencilerin Akademik Başarılarına Etkisi Üzerine Bir Meta-Analiz Çalışması / A Meta-Analysis Study on the Effectiveness of Flipped Classroom Learning on Students' Academic Achievement; YABANCI DİL ÖĞRETMENLERİNİN GÖZÜNDEN PANDEMİ DÖNEMİNDE YABANCI DİL ÖĞRETİMİ; Öğretmen Adaylarının Sayısal Yetkinlik Düzeyleri; ÖĞRETMEN YETERLİĞİ VE NİTELİKLERİ ÜZERİNE YAPILMIŞ LİSANSÜSTÜ ÇALIŞMALARIN İNCELENMESİ: BİR İÇERİK ANALİZİ ÇALIŞMASI; The Effects of Online Collaborative Learning and Using E-Portfolio on Success, Attitudes and Permanency; Çevrimiçi İşbirlikli Öğrenme Ortamında E-Portfolyo Uygulamasının Motivasyona Etkisi; YÜKSEKÖĞRETİMDE TEMEL BİLİŞİM DERSLERİNE OLAN İHTİYAÇ VE DERS ÖNCESİ BİLGİSAYAR OKURYAZARLIĞI; BİLGİSAYAR DESTEKLİ BİLGİSAYAR ÖĞRETİMİNDE YAPAY ZEKÂ İLE ÖĞRENME ORTAMI SUNMANIN ÖĞRENCİ BAŞARISINA ETKİSİ; Eğitim Yönetiminin Zorluklarını Yönetmek: Öğrenme Çıktılarını Geliştirmek İçin Gerçekleştirilen En İyi Uygulamalar; ENGLISH LANGUAGE TEACHING STUDENTS' PERCEPTIONS ON THE CONCEPT OF FLIPPED CLASSROOM IN TEACHING ENGLISH: A METAPHORIC STUDY; ORTAÖĞRETİM MATEMATİK ÖĞRETİM PROGRAMLARININ ÖLÇME VE DEĞERLENDİRME BOYUTUNDA ÖĞRETMEN GÖRÜŞLERİ AÇISINDAN İNCELENMESİ; Okul Öncesi Eğitimin İlköğretimdeki Başarıya Etkisine İlişkin Öğretmen Görüşleri; Sosyo-Ekonomik Açıdan Dezavantajlı Kişilerin Eğitimleri Sırasında Karşılaştıkları Sorunlar; SINIF ÖĞRETMENLERİ VE SINIF ÖĞRETMEN ADAYLARI ÜZERİNE YAPILMIŞ DOKTORA ÇALIŞMALARININ İNCELENMESİ; ÖZ DÜZENLEME BECERİLERİ ÜZERİNE YAPILMIŞ LİSANSÜSTÜ ÇALIŞMALARIN BİBLİYOGRAFİK OLARAK İNCELENMESİ; Elazığ ilinin ve bölge sanayisinin gelişmesinde İŞGEM modeli; Mesleki Tükenmişlik: Etki Eden Faktörler, Belirtileri ve Sonuçları; ADAY ÖĞRETMENLERIN ADAY ÖĞRETMEN VE ÖĞRETMEN KAVRAMLARINA İLIŞKIN ALGILARI: BIR METAFOR ÇALIŞMASI; İŞLETİM SİSTEMLERİ VE UYGULAMALARI DERSİNE YÖNELİK MOTİVASYON ÖLÇEĞİNİN GELİŞTİRİLMESİ ÇALIŞMASI; ÖĞRETMEN ADAYLARININ EPİSTEMOLOJİK İNANÇLARI; Yatılı İlköğretim Bölge Okullarının Etüt Saatlerinde ve Boş Zaman Etkinliklerinde Karşılaşılan Sorunlar (Elazığ İli Örneği); Ülkemizdeki Okul Öncesi Eğitimin Bazı Veriler Açısından OECD ve AB Üyesi Ülkeleri İle Karşılaştırılması; AFGANİSTAN EĞİTİM SİSTEMİNİN İNCELENMESİ; Ortaokul Öğrencilerinin Renkleri Kullanma Durumları; Fen Bilimleri Öğretmenlerinin STEM Eğitimine Yönelik Metaforik Algıları"
Mediha Kök,Prof. Dr.,"Physical Sciences, General Physics, Material Physics, Thermodynamics and Statistical Physics, Condensed Matter Physics",https://dergipark.org.tr/tr/pub/@medihakok,15,"A Review on the Effect of Mechanical and Thermal Treatment Techniques on Shape Memory Alloys; A review on the effect of alloying element on physical properties of Cu-Al-Mn Magnetic Shape Memory Alloy Material; A Review Study on Biocompatible Improvements of NiTi-based Shape Memory Alloys; Investigation of Thermal properties, Chemical Analysis and Biocompatibility of High Temperature Oxidized NiTiMn Shape Memory Alloy; Robotik Aktüatörde Piezoelektrik Malzemelerin ve Şekil Hatırlamalı Alaşımların Gelişimi; Yenilenebilir Enerjilerde Son Gelişmeler ve Çevre ve Ekonomi Üzerindeki Etkileri:Derleme Makale; A Review on NiTiCu Shape Memory Alloys: Manufacturing and Characterizations; CuAl bazlı şekil hatırlamalı alaşımlarda sıcaklığa bağlı oluşan oksitlenme özelliklerinin incelenmesi; CuAlCr Şekil Hatırlamalı Alaşıma Yaşlandırma Sıcaklığı ve Yaşlandırma Zamanının Etkileri; The Effect of Different Parameters on Shape Memory Alloys; Akıllı Malzemeler üzerine derleme: araştırmalar ve uygulamaları; NiMnSn Manyetik Şekil Hatırlamalı Alaşımının Mikro Kristal Yapısı ve Termomanyetik Davranışı Üzerindeki Gd Etkisi; Effect of Heat Treatment on Some Thermodynamics Analysis, Crystal and Microstructures of Cu-Al-X (X: Nb, Hf) Shape Memory Alloy; Investigation of Gamma Radiation Shielding in NiMnGa-Doped Multifunctional Smart Polymer Composites Using Geant4 and WinXCOM; Calculated Lattice Thermal Conductivity of Magnetite Thin Films based on Modified Callaway Model"
Fatma Erdoğan,Doç. Dr.,"Eğitim, Matematik Eğitimi, Özel Yetenekli Eğitimi",https://dergipark.org.tr/tr/pub/@fatmaerdogan26,16,"An Investigation of the Measurement Estimation Strategies Used by Gifted Students; The relationship between prospective middle school mathematics teachers’ critical thinking skills and reflective thinking skills; Matematik Dersi Öğretim Programının (Ortaokul 5-8. Sınıflar) Matematiksel Model Kullanımı Bağlamında İncelenmesi; Delving into the Critical Thinking Skills of Pre-Service Mathematics Teachers with Their Metacognitive Awareness; An Interview with Steven Pfeiffer- Dealing with what we know and what we don't know about gifted kids; Constructivist Learning Environment: A Perfect Mediator for The Relationship of Students' Multiple Intelligences with Attitudes Towards and Achievement in STEM; A new encryption task for mathematically gifted students: Encryption arising from patterns; İlköğretim Matematik Eğitiminde Velinin Ev Ödevine Katılımı Tartışması; Yansıtıcı Düşünme Etkinlikleriyle Desteklenen İşbirlikli Öğrenmenin Öğrencilerin Eleştirel Düşünme Becerileri Üzerine Etkisi; ALTINCI SINIF MATEMATİK ÖĞRETİM
PROGRAMINDA İŞBİRLİĞİNE DAYALI ÖĞRENME
YÖNTEMİNİN KULLANILABİLİRLİĞİNE İLİŞKİN
ÖĞRETMEN GÖRÜŞLERİNİN BAZI DEĞİŞKENLER
AÇISINDAN İNCELENMESİ; İLKÖĞRETİM MATEMATİK ÖĞRETMENİ ADAYLARININ YANSITICI DÜŞÜNME DÜZEYLERİNİN İNCELENMESİ; Özel yetenekli öğrencilerin tekrarlanan örüntü becerileri ve bilişsel istem düzeyleri; İlköğretim Matematik Öğretmeni Adaylarının Matematiksel Modelleme Özyeterliklerinin Belirlenmesi; Özel Yetenekli Öğrencilerin Doğal Sayılarla Dört İşlem Gerektiren Problem Kurma Becerilerinin İncelenmesi; Yansıtıcı Düşünme Etkinliklerinin Altıncı Sınıf Öğrencilerinin Matematik Tutumuna Etkisi; Reflections from the generalization strategies used by gifted students in the growing geometric pattern task"
Sezgin Demir,Doç. Dr.,Türkçe Eğitimi,https://dergipark.org.tr/tr/pub/@sezgin.demir,16,"Türkçe Öğretmeni Adaylarının Başarı Yönelimleri; UZAKTAN EĞİTİMİN ÖĞRENCİLERİN TÜRKÇE DERSLERİNE YÖNELİK AKADEMİK MOTİVASYONLARINA YANSIMALARI; Yaratıcı Düşünme Eğilimi Ölçeği: Geçerlik ve Güvenirlik Çalışması; Okuma Tutum ve Alışkanlık Ölçeği Geliştirilmesi: Güvenirlik ve Geçerlik Çalışması; Yazma Motivasyonu Ölçeği’nin Geliştirilmesi: Geçerlik ve Güvenirlik Çalışması; Ortaokul Öğrencileri İçin Eleştirel Düşünme Eğilimi Ölçeği’nin Geliştirilmesi: Geçerlik ve Güvenirlik Çalışması; KONUŞMA KAYGISI ÖLÇEĞİ’NİN GELİŞTİRİLMESİ: GEÇERLİK VE GÜVENİRLİK ÇALIŞMASI; Ortaokul Öğrencilerinin Eleştirel Düşünme Eğilimleri İle Okuma Becerileri Arasındaki İlişki; Öğrencilerin Duygusal Zekâlarının Konuşma Kaygılarıyla İlişkisi; Ortaokul Öğrencilerinin Eleştirel Düşünme Eğilimleri ile Okuma Becerileri Arasındaki İlişkiye Yönelik Görüşleri; Öğrencilerin Yazma Kaygıları, Yazma Motivasyonları ve Akademik Motivasyonlarına İlişkin Bir Yapısal Eşitlik Modeli; Ortaokul Öğrencilerinin Okuma Tutum ve Alışkanlıkları ile Üstbilişsel Farkındalık Düzeyleri Arasındaki İlişki; ORTAOKUL ÖĞRENCİLERİNİN KONUŞMA KAYGILARI; Yazma Öz Düzenleme Yetkinliği Ölçeği’nin Geliştirilmesi: Geçerlik ve Güvenirlik Çalışması; Öğrencilerin Yazma Kaygıları ve Eğilimlerine  İlişkin Öğretmen Görüşleri; FERİT EDGÜ’NÜN “YILAN” ADLI KÜÇÜREK ÖYKÜSÜNÜN GÖSTERGEBİLİMSEL YÖNTEMLERLE ÇÖZÜMLENMESİ"
Türker Tuncer,Doç. Dr.,Information and Computing Sciences,https://dergipark.org.tr/tr/pub/@turker.tuncer,30,Microsoft Teams ve Skype’ın Uzaktan Eğitim Araçları Olarak Adli Bilişim Açısından İncelenmesi; AN AUTOMATED GUNSHOT AUDIO CLASSIFICATION METHOD BASED ON FINGER PATTERN FEATURE GENERATOR AND ITERATIVE RELIEFF FEATURE SELECTOR; An automated diabetic retinopathy disorders detection model based on pretrained MobileNetv2 and nested patch division using fundus images; Lojistik-Gauss Harita Tabanlı Yeni Bir Kaotik Sürü Optimizasyon Yöntemi; Türkçe Haber Metinlerinin Çok Terimli Naive Bayes Algoritması Kullanılarak Sınıflandırılması; Tekil Değer Ayrışımı Tabanlı Yeni Bir İmge Kimliklendirme Yöntemi; A Novel Local Feature Generation Technique Based Sound Classification Method for Covid-19 Detection using Lung Breathing Sound; Bitkilerdeki Yaprak Hastalığı Tespiti için Derin Özellik Çıkarma ve Makine Öğrenmesi Yöntemi; A Novel Data Hiding Method based on Edge Detection and 2k Correction with High Payload and High Visual Quality; An automated Covid-19 respiratory sound classification method based on novel local symmetric Euclidean distance pattern and ReliefF iterative MRMR feature selector; Akıllı Şehirler için Özellik Çıkarımı ve Makine Öğrenmesi Tabanlı Asfalt Durum İzleme Yaklaşımı; Yerel İkili Örüntü Tabanli Veri Gizleme Algoritmasi: LBP-LSB; A new dataset for EEG abnormality detection MTOUH; Ses Kullanarak Otomatik Yerel İkili Model Yöntemi ile Gemi Tanımlama; İkili imgeler için blok tabanlı yeni bir kimlik doğrulama yöntemi; REGRESSION METHODS FOR SOCIAL MEDIA DATA ANALYSIS; Olay Müdahale Süreçlerinde Linux Sistemlerden Manuel Veri Toplama; Karnaugh Haritasında Çıkarma Tabanlı Yeni bir Sadeleştirme Yöntemi; GÖKTÜRK ALFABESİ TABANLI GÖRSEL SIR PAYLAŞIMI METODU İLE VERİ GİZLEME UYGULAMASI; İmge Şifreleme Yöntem ve Algoritmaları; Nesnelerin İnternetinde Karar Ağacı Tabanlı Saldırı Tespit Yöntemi; BP19: Tek Boyutlu İkili Modele Dayalı Doğru Bir Sesli Şiddet Tespit Modeli; Akıllı Tarım Uygulamaları için Histogram ve Makine Öğrenimi Kullanan Bitki Sınıflandırma Yöntemi; An Accurate HOG based Exemplar Pyramid Method for  Image Classification of Astragalus L. Taxa; Çok Seviyeli Dalgacık Dönüşümü ve Yerel İkili Örüntüler Tabanlı Otomatik EEG Duygu Tanıma Yöntemi; Goldbach Sanısı Tabanlı Yeni Bir Matematiksel Sayısal İmge Damgalama Yöntemi; İKİLİ İMGELER İÇİN MAYIN TARLASI OYUNU TABANLI YENİ BİR VERİ GİZLEME ALGORİTMASI; Ensemble NASNet Deep Feature Generator Based Underwater Acoustic Classification Model; İkili İmgeler için Kaos Tabanlı Yeni bir Steganografik Yöntem; A Digital Forensics Approach for Lost Secondary Partition Analysis using Master Boot Record Structured Hard Disk Drives
Sami Şimşek,Bilinmiyor,Veteriner Parazitoloji,https://dergipark.org.tr/tr/pub/@ssimsek_1020,1,Bingöl Yöresi Bal Arılarında Varroasis'in Yaygınlığı
